Sample/Participant,Blood Type
hu24C863,A
hu38168C,O
hu27FD1F,O
hu63EB0A,O
hu19C09F,A
huB4940E,O
hu704A85,A
hu0A4518,B
huDE435D,O
hu025CEA,O
hu1904EC,A
hu2843C9,A
hu0D1FA1,O
hu72A81D,A
huC29627,A
huA4F281,O
hu7A4AD1,O
hu602487,O
hu241DEA,A
huC434ED,AB
huEA4EE5,A
hu4339C0,A
hu92C40A,A
hu1F73AB,O
huA49E22,O
hu44DCFF,A
hu2DBF2D,A
hu5E55F5,A
huCA14D2,A
huFAF983,O
hu82E689,A
huB1FD55,O
hu2C1D94,A
hu71E59D,A
huF80F84,A
hu7DCBF9,O
hu6C733E,A
huBEDA0B,A
hu4FE0D1,A
huFE71F3,O
hu04DF3C,B
huE58004,A
hu775356,B
hu4BE6F2,O
hu57A769,AB
huB4F9B2,A
huDBD591,O
hu939B7C,O
hu8229AE,O
hu955EE1,O
hu33E2D9,O
huCD380F,O
huD37D14,O
hu05FD49,A
huC5733C,O
hu4B0812,O
hu599905,A
huB4D223,B
hu0211D6,A
huDF04CC,A
huD103CC,B
hu6E4515,O
huA05317,B
huBAAC98,O
hu432EB5,O
hu7852C5,O
hu52B7E5,A
hu1187FF,A
huC14AE1,A
hu68929D,A
hu8E2A35,A
hu60180F,A
hu67EBB3,A
hu040C0A,A
huF1DC30,A
hu90B053,A
hu089792,O
huD81F3D,A
hu7A2F1D,B
huC93106,O
huFFAD87,B
huF2DA6F,A
huD3A569,O
hu3CAB43,B
hu3A1B15,A
hu3F864B,A
huA02824,A
hu0E64A1,A
hu7123C1,A
huD09534,O
huC3160A,A
hu868880,A
huD10E53,A
hu4CA5B9,O
hu589D0B,A
hu448C4B,AB
huE9B698,A
hu26B551,O
huBE0B25,A
huFA70A3,O
hu7B594C,O
huE2E371,O
hu2D6140,O
huCCAFD0,A
huEC6EEC,O
hu259AC7,A
hu42D651,B
huBA30D4,O
hu3073E3,O
hu79F922,A
huAE4A11,O
hu52F345,O
hu15FECA,O
hu5CD2C6,A
hu5FA322,A
huAA245C,A
hu619F51,A
hu4040B8,A
hu3C0611,B
hu88A079,A
hu132B5C,O
hu5B8771,A
huEDEA65,B
hu3A8D13,A
huF5E0B6,A
huA4E2CF,B
hu1378E3,A
huD9EE1E,O
huFCC1C1,O
hu8F918A,B
huB4883B,B
hu5FB1B9,O
hu034DB1,A
hu661AD0,A
hu011C57,AB
hu8E87A9,B
hu64DBF7,O
hu60AB7C,A
huFFB09D,O
hu4BF398,O
hu82436A,B
hu48C4EB,A
hu553620,O
huF5AD12,A
hu016B28,A
hu0CF2EE,O
huAEC1B0,O
huCA017E,A
huEDF7DA,O
huAFA81C,O
hu620F18,O
hu8073B9,B
hu627574,O
hu297562,O
hu04F220,B
hu92FD55,O
hu2FEC01,O
hu470099,A
huC92BC9,A
hu72C17A,O
hu687B6B,B
hu5FCE15,O
huA0E089,A
hu342A08,A
hu76CAA5,A
hu032C04,A
hu0D879F,A
hu050E9C,O
huED0F40,A
huDBF9DD,B
huD52556,O
huEBD467,A
huAEADC0,A
